content,score
"Mohon untuk di tambahkan Fitur Absensi finger print,untuk memudahkan kita mencatat IN-OUT/mulai-selesai dalam mengerjakan sesuatu",4
Sy percaya pasti bagus apk ini namun mengenai kalender lunar jawa atau bali dan lainnys sy butuhkan juga sehingga tak cukup hanya google kalender saja.,3
"Salam sejatra semua,saya ijinkan terhadap aplikasi Google Kalender dan aplikasi tersebut merupakan aplikasi yg sangeut membantu kita semua silahkan dilanjutkan trimakasih Dede haryanto modelator Grup publik dari Bandung Jawa Barat indonesia",5
"Untuk tampilan bulannya terlalu menghabiskan space, jadi ga jelas. Lebih bagus tampilan sebelum di update",3
Tolong segera update widget yang bagus gitu loh. Masa dari jaman Kitkat masih begitu saja.,1
Update meluluk ngabisin data paket.hp jadi lemot.memori penuh aplikasi skarang Uda nggak beres.nggak kaya aplikasi di jaman y hp baru keluaran pertama,1
kalender dari google ini mantap 😁 cuman klu bisa di tambah kalender Hijriyah..... tapi saya senang dengan kalender google 🤍😁🤍😁,5
Jadwal yg sangat akurat mengingatkan tinggal yg akurat.,5
Apk bagus mudah diakses,5
"Terima kasih google kalender yang sangat bermanfaat, cukup membantu dalam penjadwalan. Namun ada beberapa fitur di mana saya harus mengakses lewat komputer terlebih dahulu karena tidak bisa dilakukan langsung dari aplikasinya, seperti membuat kalender baru, apabila bisa dibuat dari aplikasinya akan sangat membantu di mana pun orang berada untuk membuat tanpa harus berhadapan dengan komputer terlebih dahulu.",4
"Sebagai seorang pengguna setia aplikasi Google Kalender, saya sangat terkesan dengan kehandalan dan fungsionalitasnya. Aplikasi ini telah menjadi bagian tak terpisahkan dari rutinitas harian saya, membantu saya mengatur jadwal, mengingatkan acara penting, dan memastikan saya tetap terorganisir. Secara keseluruhan, aplikasi Google Kalender adalah aplikasi yang luar biasa untuk mengelola jadwal dan waktu saya. Keandalan, kenyamanan, dan fleksibilitasnya membuatnya menjadi aplikasi pilihan terbaik",5
"Bagus, mudah utk melihat tanggal",5
"Tampilannya ribet, notifikasi tidak muncul. Beberapa kali saya kelewatan acara karena pengingat yang sudah jauh² hari dipasang tidak ada notifikasinya. Maunya saya hapus, sayang sekali ini apk bawaan",1
"Saya sangat terbantu dengan aplikasi kalender ini, selain menampilkan tanggal, lebih dari itu banyak agenda yang bisa disimpan serta menambahkan catatan harian menjadi lebih mudah, fitur pencarian menjadi hal yang sangat membantu dan inilah yang saya sukai ditambah lagi semua kegiatan dan catatan tersinkronisasi dengan perangkat apapun dimanapun baik PC ataupun Smart Phone. Namun sekarang saya menemukan kendala, beberapa catatan tidak tersinkronisasi, fitur pencarian jg tidak berfungsi. :(",5
"Buruk, tidak bisa sinkronisasi. Klo buka di device lain ga sinkron. Kalau saya pencet segarkan, muncul tulisan kesalahan sinkronisasi terus. Kadang juga ga ke save jadwal yg sudah saya buat. Padahal Wifi lancar, device lancar.",2
"Kenapa sekarang tidak bisa menambahkan ulang tahun ke kalender secara otomatis? Padahal kontak sudah disimpan di dalam gmail, kalender sudah sinkron dengan gmail dan kontak, tapi tetap ulangtahun kontak-kontak yang baru di save tidak muncul di kalender, jadi saya harus membuat pengingat secara manual satu-persatu, sangat merepotkan.",3
kalender yg bagus utk kegiatan kita sehari hari,5
"sangat"" membantu dalam kehidupan sehari-hari",5
Aplikasi kalender yg bagus. Terlebih kita bisa buat jadwal/agenda harian jadi hidup lebih produktif dan bisa di sync. Cuma mungkin kekurangan terletak pada widget saja yg biasa banget sebab ga ada kostumisasi pemilihan warna maupun transplantasi biar layar home screen terlihat bagus,4
Bagus dan tingkatkan,5
Adain Lgi Dong Peningkatan Update Yang Lebih Baik Dan Efesien Okeyy,5
"Fitur edit tugas, tidak seperti sebelumnya.. Saran mungkin bisa dikembangkan fitur edit tugas mirip dengan sebelumnya",3
"Kenapa sih kok ke download otomatis terus, aku nggak install ini sama sekali tapi pasti tiba tiba ada aku uninstall lagi terus tiba tiba adaaaa, ukuranmu di hpku tu besar memoriku jadi penuh!!!!!",1
Aplikasi Yang Baik Yang Selalu Membantu Kedua Orang Tuanya,5
apk nya sangat membantu sekali,5
alangkah baiknya jika ada hari pasaran Jawa disertakan di kalender,4
Sangat berguna dengan Bagus,5
"Saya sangat mengandalkan Google Kalender dalam mengatur jadwal dan aktivitas harian saya. Aplikasi ini sangat intuitif dan mudah digunakan. Fitur pengingat, notifikasi, dan integrasi dengan email sangat membantu menjaga saya tetap terorganisir. Saya juga menyukai fleksibilitasnya untuk dapat diakses dari berbagai perangkat sehingga saya tidak pernah ketinggalan apa pun.",5
lebih perjelas lagi setiap hari raya dan libur,5
"Aplikasi google kalender semoga selalu singkron dengan perangkat xiaomi Redmi 9 ponsel ini, sehingga saat digunakan ponsel bisa stabil & optimal slalu. 👍🙏",5
"Tolong di tingkatkan lagi fitur-fiturnya agar bisa menghapus semua acara secara instan, baik acara yang di buat sendiri ataupun acara yang di buat orang lain. Soalnya itu sangat menggangu, saya merasakan pengalaman saya yang sangat buruk, harus menghapus satu persatu. Misalnya saja ada acara yang di spam oleh pengguna lain dan itu sangat menggangu. Dan tolong di tingkatkan lagi keamanannya, tingkatkan pengamanan atas kepemilikan.",1
Mudah digunakan dan sangat membantu,5
"Saya tak terlalu mengerti di Google Kalender ini,saya bisa mengerti di aplikasi kalender akademik saja",1
kalender lebih bagus lagi,3
Semoga sukses selalu untuk yang bikin aplikasi ini,5
"mo tanya,apa di aplikasi ini ja atau gimana klo hari isra mi'raj ada tulisan belum pasti,,???",4
Mungkin lebih bagus klu ada tanda merahnya di kalender supaya lebih jelas. jd tidak repot lg cari kalender di rumah.,2
Seperti namanya kalender ini bukan sembarang kalender namun bisa menjadi workspace juga,4
"sangat membantu tidak perle lihat sana sini, tinggal buka hp udah ada kalendernya",5
dapat kan updated fitur terbaru,5
Maaf kenapa sering tidak muncul hari peringatan ya ?? Seperti bulan ini seharusnya ada peringatan di tanggal tertentu ini tidak ada tolong dong !,1
bagus bisa tau jika ada hari raya agaman,5
"Aplikasi ini membingungkan,.. Saya clik kalender malah kembali ke menu awal,..saya hapus data dan unistal tetap ajh tidak bisa digunakan dan kembali ke menu awal jika saya clik kalender...ada apa dengan kalender sialan ini,..???",1
bgus jdi gk usah susah liht tgl lint d hp aj bisa,5
kok saya download lgi ga ad ya di aplikasi hp saya,2
sangat bagus buat kerja,5
singkat padat sangat bagus,5
ini kenapa tidak bisa di instal,2
untuk melihat tanggal dan tahun,5
suka kalender ini,5
semoga bisa ngebut hp ...,5
gaada kalender Hijriyah nya,1
sangat membantu sekali,5
bagus bisa lht dgn mudah,3
Ini baru aplikasi yg sangat membantu sekali saat melihat tanggal merah dan libur. Dan bisa sinkronisasi ke kalender bawaan jg Tolong dijaga agar tidak ada bug dan virus. Tingkatkan lebih baik lg ya fitur Nya.,5
lebih ditingkatkan lagi,4
semua dari pihak Google terbaik,5
"Tlong tambar fitur hapus beberapacatatan sekaligus. Agar memudahkan untuk menghapus notif yg sangat banyak dr aplikasi pihak ke 3. Sangat meresahkan, mau hapus satu satu lamanya minta ampun. Kalo udah ada fiturnya auto bintang 5",3
"Terus di kembangkan lagi,tapi jangan sering di perbarui!!!.kalo bisa hemat paketan (kuota)!!!.kalo bisa hemat baterai!!!.kalo bisa terus perkecil penyimpanan memori internalnya!!!.YANG PALING PENTING DI PERBAIKI",1
"sangat baik, dan mudah. tersinkronisasi pada semua device",5
"Saranku mungkin untuk aplikasi mobile diberikan fitur yang ada di PC, seperti shading (menggelapkan) event yang sudah terlewat (di PC ada opsinya, dan ini sangat membantu untuk mengkontraskan event yang belum terjadi di kalender)",5
"Aplikasi pengingat, reminder yang punya banyak tema dan sangat membantu alokasi jadwal, tugas, dll. Sangat direkomendasikan. Sungguh dapat diandalkan ✍️",5
sempurna....sangat rekomanded....terutama bagi rekan rekan yg punya kesibukan berjubel ..sangat bermanfaat dlm membantu terutama jadwal biar lebih simpel.......keren abis sih saya yakin pasti sangat bermanfaat mengatur jadwal dan agenda anda menjadi profesional.......segerra unduh dan coba brooo..👍👍👍👍,5
"Yth. Google, tolong lah tambahin fitur lompat ke tanggal (jump to date) di Google Calendar. Masa fitur receh begitu gak ada di aplikasi Calendar Android? Padahal berguna banget lho. Buat apa kalender digital tapi gak bisa ngecek tanggal lain dengan mudah?",1
"Marvelous! Best Calendar! Thanks Google... Tampilan blok sangat membantu, bisa geser blok nya pula. Bisa atur warna per kalender, misal kalender ""libur nasional"" Diganti warna merah. Pengulangan sangat fleksibel.",5
"bagus, tampilan menarik, cuma kurang disaat bikin acara yang judul dan isinya sama (jadwal shift kerja) tidak bisa terisi otomatis saat seperti aplikasi kalender bawaan hape samsung. tingkatkan lagi yaa developer",4
"Aplikasi google masih kurang di setting nama tugas dari awal sampai akhir. Setelah di revisi nama tugas di hari awal, tugas di hari berikutnya tidak ikut di revisi. Setelah hapus tugas dan buat ulang nama/catatan tugas di bulan kemarin ternyata tidak bisa. Mana tugasnya sudah dihapus duluan, bener² ga bisa diandalkan tolong jadi perhatian keras developer",2
Notifikasi cuma diputar selama 5 detik.. terlalu singkat.. kadang tidak terdengar (terlewatkan) Kalau bisa berikanlah setting untuk notifikasi agar bisa di-set secara custom agar durasinya bisa dipilih sendiri dan juga ingin ada setting notifikasi berulang.,3
"Ini sangat berguna. Tapi bisa kah di tambahkan link tag di deskripsi acara? Semisal kita membuat acara, terlihat dideskripsi kita membuat sebuah tag (#), dan akan muncul beberapa acara dengan tag yg sama, jadi alternatif dlm menggunakan pencarian. Semoga saran saya direalisasikan :)",5
"Sangat bermanfaat Tapi belakangan ini, banyak data ulang tahun yang tidak BISA dibaca oleh Google Kalender. Saya sudah cek input saya di Contact saya, sudah betul (sama dengan yang terbaca oleh Google Kalender: ada tanggal bulan dan tahunnya) KENAPA ada yang terbaca, dan ada yang tidak terbaca? Padahal semua constrainnya sama?",4
Aku tidak suka karena susah dan lambat sekali untuk kembali mundur mengecek mengetahui hari bulan tahun teman2 ku lalu dan keluarga ku juga aplikasinya bikin merusak dan menggangu email2 ku yang selalu aktif.. Karena ini bawaan jadi aku sumputin dulu kalendernya.,2
"Cara menampilkan Hari Libur Nasional : Buka aplikasi Google Kalender -> klik garis 3 di pojok kiri atas -> pilih Setelan -> pilih Hari Libur (paling bawah) -> pilih ""Tambahkan Hari Libur Nasional"" silahkan pilih negara Indonesia. Klo mau nampilin kalender Hijriah/Cina : Buka menu setelan -> pilih Umum -> pilih Kalender alternatif -> pilih kalender yg diinginkan",5
"Sangat berguna, tapi mengapa tidak sinkron dengan tasks ya, hanya sinkron dengan calendar web, mohon update selanjutnya diperbaiki, selebihnya sangat bermanfaat sekali👍👍👍",5
"Optimalkan keseharian Anda dengan Google Kalender, bagian dari Google Workspace. Dapatkan aplikasi Google Kalender resmi, bagian dari Google Workspace, untuk ponsel, tablet Android, atau perangkat Wear OS dan buat hari Anda lebih optimal dan efisien. • Beragam cara untuk melihat kalender Anda - Beralih dengan cepat antara tampilan bulan, minggu, dan hari. • Acara dari Gmail - Reservasi penerbangan, hotel, konser, restoran, dan lainnya ditambahkan ke kalender Anda secara otomatis. • Tugas -",5
"Kenapa setelah di instal, tampilannya tidak ada dilayar seperti aplikasi lainnya? Kenapa ingin lihat kalender saja harus ribet buka playstore dulu dan ketik google kalender? Tolong aplikasi ini diperbaiki. Saya kecewa",3
"Pengingat mengingatkan selalu telat.saya atur untuk mengingatkan saya jam 08.00 tapi pengingat nya malah mengingatkan jam 08.05 karena itu saya jadi telat mengumpulkan tugas sekolah.tolong diperbaiki lagi.dan kalau bisa saat kita tidak menghidupkan data seluler pun pengingat tetap dapat mengingatkan kita,karena saya selalu kejadian terlambat absen karena pengingat yang selalu telat mengingatkan",3
Lebih bagus aplikasi kalender bawaan HP Huawei dulu. Pakai aplikasi ini cuma terpaksa karena habis upgrade HP. Cuma aplikasi ini yang tersedia di HP buat mengingatkan agenda. Note: versi baru ribet! Tampilannya kacau!,1
"Aplikasi ini sangat bermanfaat untuk saya. Saya berharap agar Google menambahkan fitur hitung mundur agar lebih memudahkan para pengguna ketika ingin mengetahui berapa hari lagi suatu event akan dimulai, dan saya ingin ketika kita menerapkan perubahan ke suatu tugas rutin dan mengklik tombol simpan untuk menyimpan perubahan dari tugas tersebut, tolong tambahkan opsi ""Tugas ini dan tugas berikutnya"", supaya tugas yang lalu tidak ikut terubah dan tugas yang seterusnya dapat dirubah dengan gampang.",4
"Halo, Aplikasinya sangat bagus sekali, bisa untuk zoom, tp saya udh naik kelas, tp kok tetep sama klsnya, di hp berubah, tolong sedikit diperbaiki, thank you 🥰",4
"Bagus, tolong dong ditambahkan Tanggal Jawa. Karena kalender jawa yang ada di playstore semuanya buruk dan penuh iklan. saya yakin dengan tambahan kalender jawa akan memberi nilai + untuk Google kalender. 🙏",5
"Tambahkan fitur tandai semua acara atau hapus semua acara pada local account, karna saya mendapat undangan spam dan sangat mengganggu. Memang bisa dihapus, tapi manual satu persatu bahkan digeser dan dihapus, itu sangat lama. Ada lebih dari 350 spam acara pada local account",1
"Kenapa penelusuran tidak menemukan acara di masa lalu??😑😑😑 Padahal tulisan sudah sama, dan kalau saya cari manual per tanggal ketemu. Aplikasi juga sudah ter update lho padahal. Mohon perbaikkannya.. Karena penelusuran penting..",5
Bagus sih jadi produktif. Tapi aku saranin ikonnya jangan mirip google meet lah😂 masak nggak ada ide lain gitu sih buat ikon yang berbeda. Kan mirip ya tinggal dibalik aja. Sebenernya aku agak keganggu sih sama ikonnya karna aku setiap hari bolak-balik google meet sama google calendar buat keperluan sekolah aku.,4
"Banyak spam iklan suruh download aplikas dengan alasan handphone kena virus di google kalender saya ,,udah laahh saya nonaktifkan aja ini Google calender capek keluar terus spam iklan nya . Tolong perbaiki pasti saya perbaiki bintangnya .. Terimakasih",1
Tidak bisa dibuka... Di klik malah tab menu yg muncul. Mau buka harus klik buka lewat playstore. Jadi tambah ribet. Tolong diperbaiki dong updatenya,1
"Aplikasi bagus, hanya perlu penambahan alarm setiap kerjaan yang sudah ditentukan. Jika hanya notifikasi kurang pas, bagusnya langsung alarm berdering.",5
Please tambahkan menu pilih semua supaya bisa menghapus notivikasi spam virus. Saya sudah mencoba menghapus satu persatu tetapi itu memakan waktu yang sangat lama. Jadi tolong kalau bisa di kasih fitur hapus notifikasi secara group,1
Tolong buat catatan/pengingat bisa muncul terus di layar notifikasi (tidak bisa dihapus jika diaktifkan) Dan catatan/pengingatnya setiap jam (tidak dibatasi pengingatnya hanya 5 kali saja seperti yang ada sekarang ini),1
kenapa setiap mau lihat kalender tidak bisa dibuka aplikasinya?? selalu kembali keberanda atau menu lain... ada yang salah kah dengan aplikasi. sudah coba update lagi tetap sama. kecewa kecewa,1
"Mohon maaf. Selama hampir dua hari, daftar acara dan pengingat saya tidak muncul dalam waktu lama dan hanya muncul sesaat sehingga beberapa agenda batal terlaksana. Apakah mulai sekarang saya harus beralih ke aplikasi lain selain Google Kalender? Mohon penjelasan dan perbaikan. Semoga kita semua diberi kemudahan. Terima kasih atas kinerja yang baik selama ini.",1
"tampilan kalender bulanan di mode portait sangat jelek, persegi panjang dari atas layar ke bawah layar, kenapa tidak bisa kotak, kenapa seperti di rentangkan memanjang ke bawah.",1
Aq ksh ⭐ 5 dulu krn msh nyoba... Smoga bagus app nya & tdk srng update klo isinya hny bug sj.... Klo update terbaru smoga yg terbaik utk appnya... Saran sj klo tdk mncl bs di restart dulu hpnya trs nanti akan muncul 2 app calender. 1 google calender & 1 lg calender bawaan hpnya.... Trs hari libur / tgl merah di google calender jg bs mncl di calender bawaan hp. Pd hal sblm donlot ini tdk mncl hari libur di kalender bawaan hpnya.. Thx Google Calender 😊😆😁😃👍🙏,5
"Benar-benar menyebalkan. Enggak ada angin enggak ada hujan tiba-tiba semua schedule hilang, trus saat mau di buat kembali malah terus ada notifikasi yang bilang ' Belum ada kalender yang di sinkronisasi",1
"SANGAT BURUK Saya selalu ada jadwal setiap 3hari sekali. Dikalender yang lama dia punya nada notifikasi tersendiri yang sangat keras suaranya Sedangkan ini ngikutin notifikasi kek misal wa, ig. Ngerepotin doang!",1
"Bug : di widget pada saat thema gelap - penunjuk ""hari ini"" sudah terlihat tetapi setiap hari berganti di widget tetap hari yang lama, dan mesti membuka kalender lalu me refresh baru penunjuk di widget berubah. KALAU BISA ICON CALENDER MENUNJUK ANGKA HARI INI, BUKAN STATIS",3
"google kalender bisa disinkron kan dengan kalender di windows via email. sangat menarik dan bermanfaat, mencatat event di manapun dan mendapat notifikasi di keduanya sehingga tidak perlu takut ketika tidak memegang hp. namun apakah ada converter kalender masehi ke hijriyah ?",4
"Saya sangat suka dengan desain dan cara menambahkan tasks nya yang tidak membuat bingung, tetapi kurang adanya prioritas atau dapat mengubah warna per tasks, dan menambah note untuk hari itu seperti masalah pada hari itu atau hal penting pada hari itu.",3
"mohon diadakan pengingat untuk hari ulang tahun yang disimpan di kontak google. jd bukan hanya sekedar ada dalam kalender tp ternyata ga ada pengingat notifikasinya sama sekali. masa ya harus buat acara sendiri di kalendernya, terus fungsinya tanggal lahir di kontak google apa dong?.",1
Sumpah..........😲😲 aplikasi ini lebih berguna daripada aplikasi kalender bawaan androidnya langsung tapi tolong tambahin semua hari raya besar keagamaan ya. Terima kasih untuk Google karena udah membuat aplikasi ini ya.👍👍👍👍,5
Aplikasi super banget. Sangat membantu keseharian kalau ditaruh di widget. Saran dong tema warnanya bisa diganti ganti biar menyesuaikan wallpaper hp. Thankyou google calender,5
"Sejauh ini si bagus, cuma pen ngasih saran aja sedikit, tolong dong kasi fitur label tanpa pengingat kalo bisa labelnya itu pake stiker. Terus kan ada fitur tujuan di sini saran saya kasi fitur note atau to do listnya dong dikalender, kan tujuan kadang Ndak terlalu spesifik ngapain aja jadi biar ada catetan gitu. Ndak cuma di tujuan si kalo bisa di seluruh fitur kayak di acara, tugas, pengingat dan lain lain sesuai keinginan. Okei tq semoga diihat",5
"Tolong bagi pengembang aplikasi ini tampilan kalender saya kok muncul tulisan viruses on your device tapi sudah saya scan anti virus apa saja sudah saya lakukan tapi masih tetap aja, tolong berikan solusi nya agar tanda peringatan ini hilang, mau saya uninstall tidak bisa dikarnakan bawaan handphone.",1
"Dapatkan apl resmi Google Kalender yang dirancang untuk memaksimalkan hari Anda Dapatkan aplikasi Google Kalender resmi untuk ponsel dan tablet Android agar Anda dapat menghemat waktu dan memaksimalkan hari. • Beragam cara untuk melihat kalender - Beralih dengan cepat antara tampilan bulan, minggu, dan hari. • Acara dari Gmail - Reservasi penerbangan, hotel, konser, restoran, dan banyak lagi. Semua ditambahkan ke kalender secara otomatis. • Hal yang harus dilakukan tercantum di kalender Anda -",5
